gisid,Calendar year,State Route,Loc Road Name RMS,Intersection From,Segment From,Offset From,Intersection To,Segment To,Offset to,Municipality Name1,Municipality Name2,Municipality Name3,Leg Dist 1,Leg Dist 2,Leg Dist 3,Senatorial Dist1,Senatorial Dist2,Cong District,Miles Planned,County,longcode,shortcode
,2024,2018,BETHLEHEM PK,Sunnybrook Rd,50,764,Church Rd,50,3074,WHITEMARSH,SPRINGFIELD,"",148,154,148,07,"",04,0.44,Montgomery,20180050076400503074,201800500050
,2025,1001,RISING SUN AV,Roosevelt Blvd / SR 6001,10,0,Bustleton Ave / SR 0532,150,3451,PHILADELPHIA,"","",203,179,197,3,"",2,7.56,Philadelphia,10010010000001503451,100100100150
,2026,291,INDUSTRIAL HW,300Ft East of Harrahs Blvd,100,0,Stevens Dr,180,3053,EDDYSTONE,CHESTER CITY,TINICUM,185,162,159,09,"",05,4.05,Delaware,02910100000001803053,029101000180
,2024,352,EDGMONT AV,Ninth St / SR 6013,10,0,Ridge Blvd,40,2430,PARKSIDE,BROOKHAVEN,CHESTER CITY,161,159,"",09,"",05,2.23,Delaware,03520010000000402430,035200100040
,2026,4027,ALLENTOWN RD,Lower Rocky Dale Rd,104,0,318ft North of Sycamore Dr,180,2672,TRUMBAUERSVILLE,WEST ROCKHILL,MILFORD,145,"","",16,"",01,4.78,Bucks,40270104000001802672,402701040180
,2024,340,OLD PHILADELPHI,987 Ft from Compass Rd,10,0,Compass Rd,10,987,WEST CALN,"","",026,"","",44,"",06,0.19,Chester,03400010000000100987,034000100010
,2028,896,NEW LONDON RD,PA / Maryland Border,10,0,Hunt View Lane,70,2283,LONDON BRITAIN,FRANKLIN,"",013,"","",09,"",06,4.03,Chester,08960010000000702283,089600100070
,2025,4018,GAME FARM RD,Pleasant Ave,30,0,Gravel Pk,70,3530,LOWER FREDERICK,LIMERICK,PERKIOMEN,147,146,"",24,"",04,3.4,Montgomery,40180030000000703530,401800300070
,2028,4025,LINFIELD RD,Evergreen Rd,30,0,Sanatoga Rd,30,1955,LOWER POTTSGROVE,LOWER POTTSGROVE,"",146,"","",24,"",04,0.37,Montgomery,40250030000000301955,402500300030
,2024,291,PENROSE AV,Platt Bridge,90,0,Oregon Ave / SR 2001,120,2214,PHILADELPHIA,"","",185,184,"",1,"",5,1.7,Philadelphia,02910090000001202214,029100900120
,2024,2009,ARAMINGO AV,Delaware Av / Richmond St / SR 2001,10,0,Roosevelt Blvd / SR 0001 / SR 6001,120,3419,PHILADELPHIA,"","",202,180,179,1,"",2,6.11,Philadelphia,20090010000001203419,200900100120
,2026,2033,WOODBOURNE RD,Cobalt Ridge Rd,60,0,SR 2049,110,3561,MIDDLETOWN,"","",142,140,"",06,"",01,3.44,Bucks,20330060000001103561,203300600110
,2024,532,WASHINGTON CROS,SR 0332,184,0,SR 0032,300,2338,UPPER MAKEFIELD,NEWTOWN,LOWER MAKEFIELD,031,031,"",10,"",01,6.15,Bucks,05320184000003002338,053201840300
,2025,3029,BEIDLER RD,Brownlie Rd,50,0,Geerdes Blvd,74,2719,UPPER MERION,"","",149,"","",17,"",05,2,Montgomery,30290050000000742719,302900500074
,2024,213,MAPLE AV,Southhampton-Bridgtown Pk/,45,0,Lincoln Highway/SR 2037,151,1666,MIDDLETOWN,LOWER SOUTHAMPTON,"",142,"","",06,"",01,1.68,Bucks,02130045000001511666,021300450151
,2026,2053,OXFORD VALLEY R,Harris Ave,81,0,Neshaminy St / SR 2027,91,2581,FALLS,"","",140,"","",10,"",01,0.96,Bucks,20530081000000912581,205300810091
,2025,1020,LAWRENCE RD,Sproul Rd / SR 0320,11,0,West Chester Pk / SR 0003,31,2912,MARPLE TOWNSHIP,"","",166,165,"",26,"",05,1.5,Delaware,10200011000000312912,102000110031
,2027,3006,WHITEHALL RD,W Main St,10,0,Bean Rd,64,2233,WORCESTER,WEST NORRITON,"",070,149,"",17,"",04,2.41,Montgomery,30060010000000642233,300600100064
,2024,3005,EDWARDS ST,Seventh St,14,0,25Ft North of Thirteenth St,20,1489,CHESTER CITY,"","",159,"","",09,"",05,0.42,Delaware,30050014000000201489,300500140020
,2024,352,EDGMONT AV,Ninth St / SR 6013,11,0,Ridge Blvd,41,2447,PARKSIDE,BROOKHAVEN,CHESTER CITY,161,159,"",09,"",05,0.82,Delaware,03520011000000412447,035200110041
,2024,4019,THORNTON RD,Concord Rd / SR 3007,10,0,Glen Mills Rd / SR 4016,30,2354,THORNBURY,CONCORD,"",168,160,"",09,"",05,1.7,Delaware,40190010000000302354,401900100030
,2028,13,BALTIMORE AV,100ft West of S Thirty-Ninth St,61,0,Powelton Ave / SR 3003,71,1084,PHILADELPHIA,"","",191,188,"",8,"",3,3.3,Philadelphia,00130061000000711084,001300610071
,2024,13,SECOND ST,Welsh St,103,396,Crosby St,103,631,CHESTER CITY,"","",159,"","",09,"",05,0.04,Delaware,00130103039601030631,001301030103
,2026,2002,RADCLIFFE ST,New Brook St,170,0,2172Ft Northwest after Christine Ave,210,3743,BRISTOL,BRISTOL,"",141,"","",10,"",01,2.77,Bucks,20020170000002103743,200201700210
