gisid,Calendar year,State Route,Loc Road Name RMS,Intersection From,Segment From,Offset From,Intersection To,Segment To,Offset to,Municipality Name1,Municipality Name2,Municipality Name3,Leg Dist 1,Leg Dist 2,Leg Dist 3,Senatorial Dist1,Senatorial Dist2,Cong District,Miles Planned,County,longcode,shortcode,cty_code,source
2222,2024,"""3047""",W OLD RAILROAD,County Line Rd,"""0010""","""0000""",Bryn Mawr Ave,"""0010""","""0654""",LOWER MERION,,,166,,,17,,05,0.12,Montgomery,30470010000000100654,304700100010,"""46""",5-year plan 2024-2028
495,2025,"""2001""",MORRIS RD,School Rd,"""0070""","""0000""",Valley Forge Rd,"""0150""","""2517""",WORCESTER,WHITPAIN,UPPER GWYNEDD,070,061,,17,,04,4.85,Montgomery,20010070000001502517,200100700150,"""46""",5-year plan 2024-2028
2059,2024,"""2022""",FORT WASHINGTON,Bethlehem Pk,"""0020""","""0000""",Limekiln Pk,"""0070""","""2175""",UPPER DUBLIN,,,153,151,,07,,13,2.55,Montgomery,20220020000000702175,202200200070,"""46""",5-year plan 2024-2028
2064,2024,"""3034""",MORRIS AV,Millbank Rd,"""0030""","""0000""",N Spring Mill Rd,"""0050""","""1875""",LOWER MERION,,,149,,,17,,02,1.51,Montgomery,30340030000000501875,303400300050,"""46""",5-year plan 2024-2028
2065,2024,"""3058""",HECTOR ST,Fayette St,"""0012""","""0000""",Barren Hill Rd,"""0042""","""1301""",CONSHOHOCKEN,WHITEMARSH,,148,,,07,,13,1.47,Montgomery,30580012000000421301,305800120042,"""46""",5-year plan 2024-2028
2205,2025,"""3064""",EMBREEVILLE RD,Lincoln Hwy / SR 3070,"""0010""","""0000""",Marshallton Thorndale Rd / SR 3055,"""0050""","""3199""",COATESVILLE,WEST BRADFORD,CALN,158,074,,19,,16,2.76,Chester,30640010000000503199,306400100050,"""15""",5-year plan 2024-2028
2217,2025,"""3018""",ALAN WOOD RD,Tees Blvd,"""0020""","""0000""",Ridge Pk,"""0020""","""3765""",PLYMOUTH,,,148,,,17,,04,0.71,Montgomery,30180020000000203765,301800200020,"""46""",5-year plan 2024-2028
2223,2024,"""4012""",GRATERFORD RD,Gravel Pk,"""0054""","""0000""",Perkiomen Creek Rd,"""0054""","""1787""",SKIPPACK,PERKIOMEN,,146,,,24,,04,0.34,Montgomery,40120054000000541787,401200540054,"""46""",5-year plan 2024-2028
2246,2025,"""3021""",BORTONDALE RD,Old Middletown Rd,"""0010""","""0000""",W Baltimore Ave / SR 2016,"""0030""","""3186""",MEDIA,UPPER PROVIDENCE,MIDDLETOWN,168,,,09,,07,1.58,Delaware,30210010000000303186,302100100030,"""23""",5-year plan 2024-2028
2288,2024,"""1020""",CROSS RD,W Skippack Pk,"""0010""","""0000""",Salfordville Rd,"""0040""","""2156""",SKIPPACK,LOWER SALFORD,,150,147,,24,,07,2.2,Montgomery,10200010000000402156,102000100040,"""46""",5-year plan 2024-2028
